SALLE;ETAGERE;SECTEUR;DISCIPLINE;Sous-discipline (à voir ?);COTE;COTE (archive)
Sciences Sociales;Etagère A ;Sciences de l'information;Ecrits - Edition - Audiovisuel ;;0;0
Sciences Sociales;;Sciences de l'information;Bibliothéconomie ;;2;2
Plusieurs;;Usuels - Encyclopédies et dictionnaires ;Usuels - Encyclopédies et dictionnaires ;;3;3
Economie;;Généralités;Généralités, gérées par le Droit ;;4;4
Sciences Sociales;;Sciences de l'information;Presse et information ;;07 sauf 074, 079;07 sauf 074, 079
Sciences Sociales;;Sciences de l'information;Différentes catégories de presse ;;74;74
Sciences Sociales;;Sciences de l'information;Les journalistes ;;79;79
Sciences Humaines;;Philosophie;Philosophie - Généralités / Philosophes ;;1 sauf 10 à 17;1 sauf 10 à 17
Sciences Humaines;;Philosophie;Domaines, méthodes de la philosophie ;;101;101
Sciences Humaines;;Philosophie;Métaphysique ;;11 sauf 111, 113, 115;11 sauf 111, 113, 115
Sciences Humaines;;Philosophie;Ontologie ;;111;111
Sciences Humaines;;Philosophie;Philisophie de la nature ;;113;113
Sciences Humaines;;Philosophie;Philisophie du temps;;115;115
Sciences Humaines;;Philosophie;Causalité ;;122;122
Sciences Humaines;;Philosophie;Liberté ;;123;123
Sciences Humaines;;Philosophie;Philosophie de la valeur ;;124;124
Sciences Humaines;;Philosophie;Vie et mort ;;128;128
Sciences Humaines;;Philosophie;Philosophie de l'esprit, de l'action, politique, de la culture ;;13;13
Sciences Humaines;;Philosophie;Systèmes philosophiques ;;141;141
Sciences Sociales;;Psychologie;Psychologie - Généralités ;;15 sauf 159.9;15 sauf 159.9
Sciences Sociales;;Psychologie;Psychologie clinique - ouvrages généraux ;;159.9 sauf 159.91 à 159.97;159.9 sauf 159.91 à 159.97]
Sciences Sociales;;Psychologie;Psychophysiologie ;;159.91;159.91]
Sciences Sociales;;Psychologie;Psychologie différentielle ;;159.92 sauf 159.922 à 159.929;159.92 sauf 159.922 à 159.929]
Sciences Sociales;;Psychologie;Conscience ;;159.922;159.922]
Sciences Sociales;;Psychologie;Personnalité, caractère ;;159.923 à 159.929;159.923 à 159.929]
Sciences Sociales;;Psychologie;Perception ;;159.93;159.93]
Sciences Sociales;;Psychologie;Communication non verbale ;;159.942, 159.943, 159.946, 159.947;159.942, 159.943, 159.946, 159.947]
Sciences Sociales;;Psychologie;Cognition, intelligence ;;159.95 sauf 159.952 à 159.955;159.95 sauf 159.952 à 159.955]
Sciences Sociales;;Psychologie;Attention ;;159.952 à 159.955;159.952 à 159.955]
Sciences Sociales;;Psychologie;Etats modifiés de la conscience ;;159.961 à 159.963;159.961 à 159.963]
Sciences Sociales;;Psychologie;Psychanalyse ;;159.964;159.964]
Sciences Sociales;;Psychologie;Psychopathologie ;;159.97;159.97]
Sciences Humaines;;Philosophie;Logique ;;16;16]
Sciences Humaines;;Philosophie;Morale ;;17;17]
Sciences Humaines;;Religion;Religion - Généralités ;;2 sauf 21 à 29;2 sauf 21 à 29]
Sciences Humaines;;Religion;Philosophie et théorie de la religion ;;21;21]
Sciences Humaines;;Religion;Bible;;22;22]
Sciences Humaines;;Religion;Théologie dogmatique;;23;23]
Sciences Humaines;;Religion;Théologie morale ;;24;24]
Sciences Humaines;;Religion;Théologie pastorale ;;25;25]
Sciences Humaines;;Religion;Eglise chrétienne ;;26;26]
Sciences Humaines;;Religion;Histoire générale de l'Eglise chrétienne ;;27;27]
Sciences Humaines;;Religion;Différentes églises chrétiennes ;;28;28]
Sciences Humaines;;Religion;Religions non chrétiennes - généralités ;;29 sauf 292,294,296 , 297 et 299;29 sauf 292,294,296 , 297 et 299]
Sciences Humaines;;Religion;Religion des Grecs et des Romains ;;292;292]
Sciences Humaines;;Religion;Hindouisme, Bouddhisme ;;294;294]
Sciences Humaines;;Religion;Judaïsme ;;296;296]
Sciences Humaines;;Religion;Islam ;;297;297]
Sciences Humaines;;Religion;Autres religions ;;299;299]
Sciences Sociales;;Sociologie;Sociologie - Généralités ;;3 sauf 30, 31, 33 et 37;3 sauf 30, 31, 33 et 37]
Sciences Sociales;;Ethnologie;Ethnologie ;;30 sauf 301, 304 et 308;30 sauf 301, 304 et 308]
Sciences Sociales;;Sociologie;Sociologie générale ;;301 sauf 301.15,301.16,301.17, 301.185, 301.187, 301.188, 301.199;301 sauf 301.15,301.16,301.17, 301.185, 301.187, 301.188, 301.199]
Sciences Sociales;;Psychologie sociale;Psychologie sociale ;;301.15;301.15]
Sciences Sociales;;Psychologie sociale;Dynamique des groupes, travail ;;301.16;301.16]
Sciences Sociales;;Sociologie;Cultures et civilisations ;;301.17;301.17]
